"theta"	"age"	"sex"	"experience"	"sbsod"
1.79184993613502	-0.675000000000001	1	0.208125	0.350849999999999
3.32773967789003	0.324999999999999	1	0.208125	-2.51915
-0.651611016657044	2.325	0	2.208125	0.75085
-0.89595711193625	0.324999999999999	1	1.208125	-0.04915
1.30315774557661	3.325	0	2.208125	0.88085
-0.337451751298065	1.325	0	1.208125	1.35085
1.26825116053672	1.325	0	2.208125	-0.11915
-0.389811628857894	1.325	0	2.208125	1.01085
1.49514396329598	2.325	1	2.208125	2.68085
-0.250185288698348	2.325	0	2.208125	1.55085
-0.965770282016023	1.325	1	1.208125	-1.31915
1.68713018101536	1.325	1	1.208125	1.75085
1.16353140541706	-0.675000000000001	0	-0.791875	0.95085
-0.197825411138518	1.325	1	1.208125	0.350849999999999
0.517759582179157	-0.675000000000001	1	-0.291875	0.350849999999999
0.779558969978306	1.325	0	2.208125	-1.11915
-2.50166002377103	-0.675000000000001	1	0.208125	-0.589150000000001
2.45507505189286	-1.675	1	-1.291875	0.0808499999999999
3.32773967789003	-1.675	1	-1.791875	-1.11915
-1.66390198281376	-1.675	0	-1.791875	1.21085
-1.90824807809296	0.324999999999999	1	0.208125	-1.44915
-1.87334149305307	-0.675000000000001	1	-0.791875	0.21085
-1.17520979225534	2.325	0	1.708125	-1.64915
-0.337451751298065	2.325	0	2.208125	0.38085
-0.511984676497498	-1.675	0	-1.291875	0.68085
0.360679949499667	0.324999999999999	0	0.208125	1.28085
1.26825116053672	3.325	0	2.208125	-0.51915
-1.90824807809296	0.324999999999999	1	1.208125	-0.84915
1.30315774557661	1.325	1	1.208125	0.21085
0.5352128746991	1.325	1	0.708125	0.0808499999999999
-1.00067686705591	-1.675	1	-1.708541667	-2.04915
-2.04787441825251	-1.675	1	-1.666875	-1.24915
-0.89595711193625	-1.675	1	-0.791875	-1.11915
0.954091895177739	-1.675	0	-0.791875	-0.51915
-1.62899539777387	-1.675	1	-1.625208333	-1.24915
0.709745799898533	0.324999999999999	0	1.208125	0.61085
0.0814272691805745	-0.675000000000001	0	-0.791875	1.68085
-2.51911331629098	-1.675	1	-0.791875	1.21085
1.19843799045695	1.325	1	1.208125	-1.64915
-1.66390198281376	-1.675	1	-1.291875	-0.04915
-0.511984676497498	-1.675	0	-0.791875	1.08085
1.54750384085581	-0.675000000000001	1	-1.291875	-1.04915
-0.477078091457611	-0.675000000000001	0	-0.791875	1.61085
0.221053609340121	-1.675	0	-0.791875	0.45085
-0.0232924859390853	1.325	1	1.208125	1.75085
-0.0581990709789719	1.325	0	1.208125	0.88085
-0.89595711193625	-0.675000000000001	0	-0.791875	-0.31915
-0.442171506417724	1.325	0	2.208125	0.68085
0.954091895177739	-0.675000000000001	1	-0.791875	-0.91915
0.360679949499667	1.325	1	1.208125	1.35085
0.465399704619327	1.325	0	1.208125	0.28085
0.5352128746991	0.324999999999999	1	0.208125	0.75085
0.151240439260348	-1.675	0	-1.291875	0.150849999999999
3.08339358261082	0.324999999999999	1	0.208125	0.55085
0.0465206841406879	-0.675000000000001	0	0.208125	1.01085
0.849372140058079	-0.675000000000001	1	0.708125	0.21085
0.779558969978306	-1.675	1	-1.791875	0.0108499999999996
0.919185310137853	-1.675	0	-1.291875	-0.73915
-0.128012241058745	1.325	1	2.208125	0.55085
-0.0931056560188585	-1.675	1	-1.291875	0.350849999999999
0.0814272691805745	0.324999999999999	1	1.208125	0.55085
0.709745799898533	-0.675000000000001	0	-0.791875	0.38085
0.570119459738987	-0.675000000000001	0	-0.791875	-1.04915
-0.232731996178405	1.325	1	1.208125	-0.64915
-0.581797846577271	-0.675000000000001	0	-0.791875	-1.04915
0.605026044778873	-1.675	0	-0.791875	-0.38915
-0.0581990709789719	1.325	0	1.208125	-0.24915
0.919185310137853	-1.675	1	-1.291875	-1.91915
0.849372140058079	-0.675000000000001	0	-1.791875	-0.589150000000001
0.849372140058079	0.324999999999999	1	1.208125	-0.589150000000001
-0.930863696976137	-0.675000000000001	0	-0.291875	-1.78915
0.779558969978306	-0.675000000000001	1	-1.791875	0.55085
0.674839214858647	-1.675	0	-1.791875	0.810849999999999
-1.26247625485506	0.324999999999999	0	1.208125	-0.589150000000001
0.988998480217626	-0.675000000000001	1	0.208125	0.28085
0.500306289659214	-0.675000000000001	1	-0.291875	0.75085
1.44278408573615	-1.675	1	-1.291875	1.21085
1.8267565211749	-0.675000000000001	1	-0.791875	0.21085
0.5352128746991	0.324999999999999	1	1.208125	-0.24915
-1.59408881273398	-1.675	1	-1.291875	-2.64915
0.255960194380007	0.324999999999999	1	0.208125	0.95085
0.273413486899951	2.325	1	2.208125	-1.04915
0.413039827059497	2.325	0	2.208125	-0.64915
-2.17004746589211	3.325	0	0.208125	0.350849999999999
0.378133242019611	1.325	1	1.208125	1.01085
0.0465206841406879	1.325	1	1.208125	0.0108499999999996
2.12346249401394	-0.675000000000001	1	-0.791875	0.150849999999999
1.14607811289712	-1.675	1	-0.791875	1.01085
1.32061103809655	1.325	1	1.208125	-0.44915
-1.61154210525393	-0.675000000000001	0	0.208125	0.0108499999999996
